name,activated,threshold,before_activation_alters,after_activation_alters,gender,age,race
0,1,-2.7449910013488132,0,2,0,-1.2370655418330818,0
1,1,3.0043024561116747,0,12,0,0.18725434689751816,1
2,1,6.006479979829364,0,7,1,1.015494654091001,0
3,1,1.5906881560479016,0,10,0,-0.2167759404374039,0
4,1,2.5668601831706925,0,5,1,-0.5896738814448989,0
5,1,0.41378285517714586,0,11,0,-0.35386908870474926,1
6,1,3.6837360315137992,3,5,1,-0.10342057496215966,1
7,1,2.8233890808993856,0,10,1,-0.24684578479358069,0
8,1,-1.9613993404080277,0,1,0,-0.9964173674430588,0
9,1,2.0863906102913843,0,11,0,-0.7166970072155195,1
10,1,4.572874760504014,0,9,1,-0.4480987473937779,1
11,1,-0.34994432232394246,0,7,1,-1.063873306437608,1
12,1,9.290310571941061,0,16,1,2.392297707596237,0
13,1,-0.9659165705221024,0,10,0,-1.0452869103692646,0
14,1,-1.72230083275814,0,2,0,-2.09227175870386,0
15,1,4.2787603761083775,0,6,0,1.0250642408663315,0
16,1,1.7994367860691072,0,3,1,-0.23203589935886954,0
17,1,-2.0261976842801808,0,0,1,-1.6603193067515527,0
18,1,1.985768881138958,1,12,1,-0.309744976810871,0
19,1,1.4470169941776028,0,2,0,0.05072731369090633,1
20,1,1.1474606629752029,0,4,0,-0.08555062418621051,0
21,1,-2.774293857649207,0,13,0,-1.3988494676017629,0
22,1,2.113263534148803,1,12,1,-0.8668357234908912,1
23,1,3.910032181731594,0,4,1,0.43723459964440853,0
24,1,0.8582187880063836,0,8,0,-0.15408737404216266,1
25,1,4.63562794359126,0,10,1,-0.017680848540289732,1
26,1,4.366981103159491,1,5,1,-0.44278745494259203,1
27,1,11.175351079986402,0,12,1,2.0604227421068217,1
28,1,-0.14438988989610646,0,1,0,-0.7209085829114602,0
29,1,1.8134800768342119,0,6,1,0.11450285493034255,0
30,1,3.825496133720045,2,5,1,-0.6062453769409332,1
31,1,4.559679008711522,3,9,1,-0.8739943579443626,1
32,1,6.192306559316531,0,7,1,0.206937247861238,1
33,1,0.8314485451608848,0,1,0,-1.2847952748608211,1
34,1,-0.09438425173158271,0,14,0,0.893805007169527,0
35,1,2.669782562871948,2,10,1,-0.19856249697607692,0
36,1,0.7055018455370958,0,1,0,0.17878704708443288,0
37,1,3.0159741063200327,3,12,1,0.8795152951750416,0
38,1,2.755346936043785,0,4,0,0.7159127295745016,1
39,1,-2.4231737311310706,0,10,0,-2.0145963356475054,1
40,1,0.18387910751097047,0,2,1,-0.9918525302797195,0
41,1,3.5095850869976344,2,6,1,0.13748028799078563,0
42,1,2.898789126452903,1,9,1,-1.4075167022154929,1
43,1,3.819135061956633,3,12,0,1.7567372533459125,0
44,1,2.337312303785391,0,3,1,-0.5854238602146775,0
45,1,4.087167128705028,0,6,1,0.8168257928289564,1
46,1,2.076898082313784,0,4,1,-0.45220456400774384,0
47,1,3.847648614167937,0,11,0,0.3461069374506905,1
48,1,0.6271205210269937,0,12,1,-0.7672670650337642,0
49,1,1.3501143595205711,1,9,0,-0.3084686819704002,0
50,1,0.6883912565978774,0,7,1,-0.6233121532919161,0
51,1,4.179552015559686,0,5,1,0.3038962545472038,1
52,1,4.340928460440493,1,13,0,0.5197710641892372,1
53,1,2.7452779840290207,0,3,0,-0.06560250763557084,1
54,1,3.7715608583964397,2,5,1,1.2835717224610521,0
55,1,4.1148781928113305,2,17,0,1.4592760331942949,0
56,1,-0.5294089248565124,0,2,0,-0.6643472407103265,0
57,1,2.6987076535167622,0,5,0,0.711372985799648,1
58,1,2.3934213975710916,0,6,0,1.1516549325232746,0
59,1,4.168828415537455,0,10,1,-0.21026521198328835,1
60,1,4.160563051973732,0,11,0,0.7912741002420981,1
61,1,1.006958264026877,0,2,0,0.2265209622648938,0
62,1,4.571902720022196,0,11,0,1.882662416584864,0
63,1,-0.552948041880855,0,0,1,-1.3609968999710695,1
64,1,0.5048443944376917,0,11,0,-0.9622312466419881,0
65,1,0.10595825932137037,0,1,1,-1.1478266242646402,0
66,1,-0.8861645089663095,0,8,0,-1.2038702963874828,1
67,1,-1.1544583340533308,0,2,1,-0.9110674297591709,0
68,1,6.339651034757788,5,12,1,1.2024982776914666,1
69,1,3.8120078324599094,0,5,1,-0.2954460472829548,1
70,1,3.847171779057585,0,6,0,0.9225058296633344,1
71,1,1.4632495820319207,0,3,1,-0.8111875740645313,0
72,1,3.258642042639464,2,9,0,1.098920701846725,1
73,1,1.3236694793867279,0,7,1,-1.3965860234503091,0
74,1,4.965613577681683,4,9,1,1.239353955884376,0
75,1,-1.9895584970483347,0,6,0,-0.9104953933040858,0
76,1,2.0163627064949594,1,11,0,0.5204950463919558,0
77,1,-2.5298770909185015,0,0,0,-1.055486703285382,0
78,1,4.966510402570754,0,12,0,1.2683906440973953,1
79,1,0.8226097698278962,0,2,0,-0.1427258291554973,0
80,1,5.506936357183374,5,8,1,1.4995057450892617,0
81,1,2.0226078953990245,2,12,0,0.4008014081441277,0
82,1,5.064937624752013,3,13,1,0.8011803224627326,0
83,1,4.412763594366329,3,8,1,0.4606184919526283,0
84,1,3.2081202381364133,2,5,0,0.5773979323604231,0
85,1,2.9838057628543657,1,7,1,-0.8044911843707493,1
86,1,3.919781162291691,2,5,1,-0.0447489856161494,1
87,1,1.3664054585282102,1,9,0,0.376313538038221,0
88,1,1.8919474844617428,0,3,1,-0.7300687542755264,1
89,1,3.7695448824525366,3,8,1,0.19628293459728613,0
90,1,-0.8701480705779954,0,4,1,-1.9688499834264264,1
91,1,3.1998974310088797,0,13,1,0.16411664314843574,1
92,1,8.835182572317878,6,9,1,1.7345189809040928,1
93,1,4.870304394819979,0,11,0,0.8493082633913329,1
94,1,-1.0868589074456598,0,1,0,-1.3546160048569347,0
95,1,-2.629242349657769,0,0,0,-2.7019432929626843,1
96,1,-0.09097668882227516,0,5,0,-0.42330959839285504,1
97,1,1.7951298058350842,0,3,0,0.34664135657633127,0
98,1,4.268987330285651,0,9,1,-0.27940441860763526,1
99,1,0.9502388964409603,0,3,1,-1.6058757025596933,1
